iter	Passed	Remaining
0	4	2023
1	7	1828
2	10	1777
3	14	1745
4	17	1724
5	19	1644
6	23	1636
7	26	1623
8	29	1612
9	32	1597
10	36	1612
11	39	1601
12	43	1613
13	46	1611
14	49	1611
15	51	1546
16	55	1564
17	58	1572
18	62	1583
19	66	1586
20	69	1591
21	73	1591
22	76	1587
23	80	1597
24	84	1599
25	87	1595
26	91	1604
27	95	1601
28	98	1600
29	101	1593
30	105	1589
31	108	1589
32	112	1588
33	115	1587
34	118	1580
35	122	1576
36	126	1580
37	129	1579
38	133	1576
39	136	1569
40	140	1569
41	143	1566
42	147	1564
43	151	1565
44	154	1564
45	158	1562
46	162	1561
47	166	1563
48	169	1563
49	174	1567
50	179	1576
51	182	1574
52	187	1577
53	191	1578
54	194	1574
55	198	1577
56	202	1577
57	207	1579
58	211	1577
59	214	1575
60	218	1573
61	222	1569
62	226	1567
63	229	1563
64	233	1562
65	237	1562
66	241	1559
67	245	1556
68	248	1549
69	251	1546
70	255	1546
71	260	1548
72	264	1546
73	267	1541
74	271	1538
75	274	1533
76	278	1529
77	281	1525
78	285	1521
79	288	1515
80	292	1512
81	295	1506
82	299	1502
83	302	1498
84	306	1494
85	309	1488
86	312	1484
87	316	1481
88	319	1477
89	323	1473
90	326	1467
91	330	1464
92	333	1459
93	336	1454
94	340	1451
95	343	1446
96	347	1441
97	350	1437
98	353	1433
99	357	1430
100	361	1426
101	364	1421
102	367	1416
103	370	1412
104	374	1407
105	377	1402
106	380	1398
107	383	1393
108	387	1389
109	390	1384
110	393	1379
111	396	1375
112	400	1370
113	403	1365
114	406	1361
115	410	1357
116	413	1353
117	417	1350
118	420	1347
119	424	1344
120	428	1340
121	431	1336
122	434	1332
123	439	1331
124	442	1328
125	446	1324
126	451	1325
127	454	1321
128	458	1317
129	461	1313
130	464	1308
131	467	1304
132	471	1300
133	474	1296
134	477	1292
135	481	1289
136	485	1285
137	488	1280
138	492	1277
139	495	1273
140	499	1271
141	502	1267
142	506	1264
143	509	1260
144	513	1257
145	517	1255
146	521	1251
